rank,country,iso,power_index,defense_budget_usd_2026,data_year,source,defense_budget_usd_billion,Active_Personnel,Reserve_Personnel,Paramilitary_Personnel,Tanks,Armored_Fighting_Vehicles,Total_Aircraft,Naval_Fleet_Ships,Total_Naval_Fleet,Aircraft_Carriers,Submarines,Destroyers,Frigates,Total_Aircraft,Fighter_Interceptor_Aircraft,Transport_Aircraft,Helicopters,Attack_Helicopters,Fighter_Share_of_Total_%,Helicopter_Share_of_Total_%,Attack_Helicopter_Share_of_Helicopters_%,Transport_Share_of_Total_%,Total_Manpower_Active,Tanks,Armored_Fighting_Vehicles,Self_Propelled_Artillery,Towed_Artillery,Rocket_Projectors_MLRS
1,United States,USA,0.0741,8.32E+11,2026,Global Firepower,831.5,1333030,799500,0,4666,409660,13032,465,465,11,66,83,0,13032,1791,917,5913,1024,13.74,45.37,17.32,7.04,1333030,4666,409660,1521,1878,1731
2,Russia,RUS,0.0791,2.13E+11,2026,Global Firepower,212.638272,1320000,2000000,250000,5630,126512,4237,747,747,1,66,13,12,4237,861,458,1643,556,20.32,38.78,33.84,10.81,1320000,5630,126512,3603,5920,2486
3,China,CHN,0.0919,3.03E+11,2026,Global Firepower,303,2035000,510000,625000,5870,152040,3529,841,841,3,61,53,46,3529,1443,287,1007,281,40.89,28.53,27.9,8.13,2035000,5870,152040,2940,1400,2770
4,India,IND,0.1346,1.09E+11,2026,Global Firepower,109,1431000,1000000,2527000,3913,163554,2183,343,343,2,18,13,18,2183,476,277,594,79,21.8,27.21,13.3,12.69,1431000,3913,163554,100,5640,300
5,South Korea,SKO,0.1642,44800000000,2026,Global Firepower,44.8,450000,3100000,120000,1831,117460,1540,215,215,0,22,14,18,1540,242,40,827,113,15.71,53.7,13.66,2.6,450000,1831,117460,2780,5800,525
6,France,FRA,0.1798,67232395000,2026,Global Firepower,67.232395,264000,43444,150000,427,110784,974,166,166,1,9,11,5,974,223,118,452,67,22.9,46.41,14.82,12.11,264000,427,110784,74,,9
7,Japan,JPN,0.1876,58000000000,2026,Global Firepower,58,251500,56000,25000,734,54390,1429,158,158,0,23,41,8,1429,217,53,583,118,15.19,40.8,20.24,3.71,251500,734,54390,193,480,99
8,United Kingdom,UKD,0.1881,88526529585,2026,Global Firepower,88.52652959,141330,31940,0,288,94064,625,116,116,2,10,6,7,625,103,30,262,50,16.48,41.92,19.08,4.8,141330,288,94064,14,126,43
9,Turkiye,TKY,0.1975,51400000000,2026,Global Firepower,51.4,481000,380000,150000,2284,98193,1101,192,192,0,14,0,17,1101,201,84,509,111,18.26,46.23,21.81,7.63,481000,2284,98193,1045,635,237
10,Italy,ITA,0.2211,37325165000,2026,Global Firepower,37.325165,165500,18300,105000,203,87364,714,285,285,2,8,3,14,714,88,31,352,37,12.32,49.3,10.51,4.34,165500,203,87364,64,108,21
11,Brazil,BRA,0.2374,26400000000,2026,Global Firepower,26.4,376000,1340000,200000,294,22464,495,69,69,0,6,0,8,495,44,107,186,0,8.89,37.58,0,21.62,376000,294,22464,149,412,82
12,Germany,GER,0.2463,1.27E+11,2026,Global Firepower,127.40009,184324,860000,0,296,87338,569,96,96,0,6,0,11,569,127,55,292,49,22.32,51.32,16.78,9.67,184324,296,87338,134,,33
